!SIL	SIL
勿近	m^II M6^MM;6 t^MF g^MI M6^MM;6 n^FF
匀	gw^II M6^MM;1 n^FF
包	b^II aMw^FF;1
包围	b^II aMw^MF;1 w^MI M6j^FF;4
包括	b^II aMw^MF;1 k^MI uM^MM;3 t^FF
包袱	b^II aMw^MF;1 f^MI uM^MM;6 k^FF
包装	b^II aMw^MF;1 dz^MI OM^MM;1 N^FF
匆匆	ts^II uM^MM;1 N^MF ts^MI uM^MM;1 N^FF
化	f^II aM^FF;3
化分	f^II aM^MF;3 f^MI M6^MM;1 n^FF
化妆	f^II aM^MF;3 dz^MI OM^MM;1 N^FF
化妆品	f^II aM^MF;3 dz^MI OM^MM;1 N^MF b^MI M6^MM;2 n^FF
化学	f^II aM^MF;3 h^MI OM^MM;6 k^FF
化学品	f^II aM^MF;3 h^MI OM^MM;6 k^MF b^MI M6^MM;2 n^FF
化学纤维	f^II aM^MF;3 h^MI OM^MM;6 k^MF ts^MI iM^MM;1 m^MF w^MI M6j^FF;4
化考	f^II aM^MF;3 h^MI aMw^FF;2
化解	f^II aM^MF;3 g^MI aMj^FF;2
化验	f^II aM^MF;3 j^MI iM^MM;6 m^FF
北	b^II M6^MM;1 k^FF
北上	b^II M6^MM;1 t^MF s^MI M9M^MM;5 N^FF
北京	b^II M6^MM;1 k^MF g^MI iM^MM;1 N^FF
北京分行	b^II M6^MM;1 k^MF g^MI iM^MM;1 N^MF f^MI M6^MM;1 n^MF h^MI OM^MM;2 N^FF
北京大学	b^II M6^MM;1 k^MF g^MI iM^MM;1 N^MF d^MI aMj^MF;6 h^MI OM^MM;6 k^FF
北方	b^II M6^MM;1 k^MF f^MI OM^MM;1 N^FF
北欧	b^II M6^MM;1 k^MF N^MI M6w^FF;1
北欧国家	b^II M6^MM;1 k^MF N^MI M6w^MF;1 g^MI OM^MM;3 k^MF g^MI aM^FF;1
北爱	b^II M6^MM;1 k^MF OMj^FI;3
北约	b^II M6^MM;1 k^MF j^MI M9M^MM;3 k^FF
北美	b^II M6^MM;1 k^MF m^MI ej^FF;5
北西	b^II M6^MM;1 k^MF s^MI M6j^FF;1
北角	b^II M6^MM;1 k^MF g^MI OM^MM;3 k^FF
北部	b^II M6^MM;1 k^MF b^MI ow^FF;6
北非	b^II M6^MM;1 k^MF f^MI ej^FF;1
北韩	b^II M6^MM;1 k^MF h^MI OM^MM;4 n^FF
匪	f^II ej^FF;2
匪帮	f^II ej^MF;2 b^MI OM^MM;1 N^FF
匪徒	f^II ej^MF;2 t^MI ow^FF;4
匹	p^II M6^MM;1 t^FF
区	k^II M9y^FF;1
区内	k^II M9y^MF;1 n^MI OMj^FF;6
区分	k^II M9y^MF;1 f^MI M6^MM;1 n^FF
区域	k^II M9y^MF;1 w^MI iM^MM;6 k^FF
区外	k^II M9y^MF;1 N^MI OMj^FF;6
区属	k^II M9y^MF;1 s^MI uM^MM;6 k^FF
区政	k^II M9y^MF;1 dz^MI iM^MM;3 N^FF
区政府	k^II M9y^MF;1 dz^MI iM^MM;3 N^MF f^MI uM^FF;2
区直	k^II M9y^MF;1 dz^MI iM^MM;6 k^FF
区议会	k^II M9y^MF;1 j^MI iM^MF;5 w^MI uMj^FF;2
医护	j^II iM^MF;1 w^MI uM^FF;6
医护人员	j^II iM^MF;1 w^MI uM^MF;6 j^MI M6^MM;4 n^MF j^MI yM^MM;4 n^FF
医生	j^II iM^MF;1 s^MI M6^MM;1 N^FF
医疗	j^II iM^MF;1 l^MI iw^FF;4
医疗卫生	j^II iM^MF;1 l^MI iw^MF;4 w^MI M6j^MF;6 s^MI M6^MM;1 N^FF
医院	j^II iM^MF;1 j^MI yM^MM;2 n^FF
匿名	l^II iM^MM;1 k^MF m^MI iM^MM;4 N^FF
匿藏	l^II iM^MM;1 k^MF ts^MI OM^MM;4 N^FF
十	s^II M6^MM;6 p^FF
十一	s^II M6^MM;6 p^MF j^MI M6^MM;1 t^FF
十一二	s^II M6^MM;6 p^MF j^MI M6^MM;1 t^MF j^MI iM^FF;6
十一点	s^II M6^MM;6 p^MF j^MI M6^MM;1 t^MF d^MI iM^MM;2 m^FF
十七	s^II M6^MM;6 p^MF ts^MI M6^MM;1 t^FF
十七亿	s^II M6^MM;6 p^MF ts^MI M6^MM;1 t^MF j^MI iM^MM;1 k^FF
十七分	s^II M6^MM;6 p^MF ts^MI M6^MM;1 t^MF f^MI M6^MM;1 n^FF
十七日	s^II M6^MM;6 p^MF ts^MI M6^MM;1 t^MF j^MI M6^MM;6 t^FF
十万	s^II M6^MM;6 p^MF m^MI aM^MM;6 n^FF
十万元	s^II M6^MM;6 p^MF m^MI aM^MM;6 n^MF j^MI yM^MM;4 n^FF
十万美元	s^II M6^MM;6 p^MF m^MI aM^MM;6 n^MF m^MI ej^MF;5 j^MI yM^MM;4 n^FF
十三	s^II M6^MM;6 p^MF s^MI aM^MM;1 m^FF
十三个	s^II M6^MM;6 p^MF s^MI aM^MM;1 m^MF g^MI OM^FF;3
十三亿	s^II M6^MM;6 p^MF s^MI aM^MM;1 m^MF j^MI iM^MM;1 k^FF
十三分	s^II M6^MM;6 p^MF s^MI aM^MM;1 m^MF f^MI M6^MM;1 n^FF
十三岁	s^II M6^MM;6 p^MF s^MI aM^MM;1 m^MF s^MI M9y^FF;3
十三年	s^II M6^MM;6 p^MF s^MI aM^MM;1 m^MF l^MI iM^MM;4 n^FF
十三点	s^II M6^MM;6 p^MF s^MI aM^MM;1 m^MF d^MI iM^MM;2 m^FF
十三点七	s^II M6^MM;6 p^MF s^MI aM^MM;1 m^MF d^MI iM^MM;2 m^MF ts^MI M6^MM;1 t^FF
十个	s^II M6^MM;6 p^MF g^MI OM^FF;3
十九	s^II M6^MM;6 p^MF g^MI M6w^FF;2
十二	s^II M6^MM;6 p^MF j^MI iM^FF;6
十二倍	s^II M6^MM;6 p^MF j^MI iM^MF;6 p^MI uMj^FF;5
十二岁	s^II M6^MM;6 p^MF j^MI iM^MF;6 s^MI M9y^FF;3
十二次	s^II M6^MM;6 p^MF j^MI iM^MF;6 ts^MI iM^FF;3
十二点	s^II M6^MM;6 p^MF j^MI iM^MF;6 d^MI iM^MM;2 m^FF
十五	s^II M6^MM;6 p^MF m^FI;5
十五万	s^II M6^MM;6 p^MF m^MI;5 m^MI aM^MM;6 n^FF
十五个	s^II M6^MM;6 p^MF m^MI;5 g^MI OM^FF;3
十五亿元	s^II M6^MM;6 p^MF m^MI;5 j^MI iM^MM;1 k^MF j^MI yM^MM;4 n^FF
十五元	s^II M6^MM;6 p^MF m^MI;5 j^MI yM^MM;4 n^FF
十五分	s^II M6^MM;6 p^MF m^MI;5 f^MI M6^MM;1 n^FF
十五分钟	s^II M6^MM;6 p^MF m^MI;5 f^MI M6^MM;1 n^MF dz^MI uM^MM;1 N^FF
十五号	s^II M6^MM;6 p^MF m^MI;5 h^MI ow^FF;6
十五家	s^II M6^MM;6 p^MF m^MI;5 g^MI aM^FF;1
十五层	s^II M6^MM;6 p^MF m^MI;5 ts^MI M6^MM;4 N^FF
十五届	s^II M6^MM;6 p^MF m^MI;5 g^MI aMj^FF;3
十五岁	s^II M6^MM;6 p^MF m^MI;5 s^MI M9y^FF;3
十五年	s^II M6^MM;6 p^MF m^MI;5 l^MI iM^MM;4 n^FF
十五日	s^II M6^MM;6 p^MF m^MI;5 j^MI M6^MM;6 t^FF
十五米	s^II M6^MM;6 p^MF m^MI;5 m^MI M6j^FF;5
十五艘	s^II M6^MM;6 p^MF m^MI;5 s^MI M6w^FF;2
十件	s^II M6^MM;6 p^MF g^MI iM^MM;6 n^FF
十位	s^II M6^MM;6 p^MF w^MI M6j^FF;2
十倍	s^II M6^MM;6 p^MF p^MI uMj^FF;5
十元	s^II M6^MM;6 p^MF j^MI yM^MM;4 n^FF
十克	s^II M6^MM;6 p^MF h^MI M6^MM;1 k^FF
十八	s^II M6^MM;6 p^MF b^MI aM^MM;3 t^FF
十八万	s^II M6^MM;6 p^MF b^MI aM^MM;3 t^MF m^MI aM^MM;6 n^FF
十八个	s^II M6^MM;6 p^MF b^MI aM^MM;3 t^MF g^MI OM^FF;3
十八亿美元	s^II M6^MM;6 p^MF b^MI aM^MM;3 t^MF j^MI iM^MM;1 k^MF m^MI ej^MF;5 j^MI yM^MM;4 n^FF
十八元	s^II M6^MM;6 p^MF b^MI aM^MM;3 t^MF j^MI yM^MM;4 n^FF
十八年	s^II M6^MM;6 p^MF b^MI aM^MM;3 t^MF l^MI iM^MM;4 n^FF
十公尺	s^II M6^MM;6 p^MF g^MI uM^MM;1 N^MF ts^MI EM^MM;3 k^FF
十六	s^II M6^MM;6 p^MF l^MI uM^MM;6 k^FF
十六万	s^II M6^MM;6 p^MF l^MI uM^MM;6 k^MF m^MI aM^MM;6 n^FF
十六日	s^II M6^MM;6 p^MF l^MI uM^MM;6 k^MF j^MI M6^MM;6 t^FF
十几	s^II M6^MM;6 p^MF g^MI ej^FF;2
十几年	s^II M6^MM;6 p^MF g^MI ej^MF;2 l^MI iM^MM;4 n^FF
十分	s^II M6^MM;6 p^MF f^MI M6^MM;1 n^FF
十分钟	s^II M6^MM;6 p^MF f^MI M6^MM;1 n^MF dz^MI uM^MM;1 N^FF
十名	s^II M6^MM;6 p^MF m^MI iM^MM;4 N^FF
十四	s^II M6^MM;6 p^MF s^MI ej^FF;3
十四个	s^II M6^MM;6 p^MF s^MI ej^MF;3 g^MI OM^FF;3
十四岁	s^II M6^MM;6 p^MF s^MI ej^MF;3 s^MI M9y^FF;3
十四点	s^II M6^MM;6 p^MF s^MI ej^MF;3 d^MI iM^MM;2 m^FF
十四点六	s^II M6^MM;6 p^MF s^MI ej^MF;3 d^MI iM^MM;2 m^MF l^MI uM^MM;6 k^FF
十国	s^II M6^MM;6 p^MF gw^MI OM^MM;3 k^FF
十多	s^II M6^MM;6 p^MF d^MI OM^FF;1
十多个	s^II M6^MM;6 p^MF d^MI OM^MF;1 g^MI OM^FF;3
十多年	s^II M6^MM;6 p^MF d^MI OM^MF;1 l^MI iM^MM;4 n^FF
十多条	s^II M6^MM;6 p^MF d^MI OM^MF;1 t^MI iw^FF;4
十天	s^II M6^MM;6 p^MF t^MI iM^MM;1 n^FF
十头	s^II M6^MM;6 p^MF t^MI M6w^FF;4
十宗	s^II M6^MM;6 p^MF dz^MI uM^MM;1 N^FF
十岁	s^II M6^MM;6 p^MF s^MI M9y^FF;3
十平方	s^II M6^MM;6 p^MF p^MI iM^MM;4 N^MF f^MI OM^MM;1 N^FF
十平方米	s^II M6^MM;6 p^MF p^MI iM^MM;4 N^MF f^MI OM^MM;1 N^MF m^MI M6j^FF;5
十年	s^II M6^MM;6 p^MF n^MI iM^MM;4 n^FF
十年代	s^II M6^MM;6 p^MF l^MI iM^MM;4 n^MF d^MI OMj^FF;6
十度	s^II M6^MM;6 p^MF d^MI ow^FF;6
十日	s^II M6^MM;6 p^MF j^MI M6^MM;6 t^FF
十月	s^II M6^MM;6 p^MF j^MI yM^MM;6 t^FF
十条	s^II M6^MM;6 p^MF t^MI iw^FF;4
十瓶	s^II M6^MM;6 p^MF p^MI iM^MM;4 N^FF
十秒	s^II M6^MM;6 p^MF m^MI iw^FF;5
十米	s^II M6^MM;6 p^MF m^MI M6j^FF;5
十组	s^II M6^MM;6 p^MF dz^MI ow^FF;2
十遍	s^II M6^MM;6 p^MF p^MI iM^MM;3 n^FF
十间	s^II M6^MM;6 p^MF g^MI aM^MM;1 n^FF
千	ts^II iM^MM;1 n^FF
千一	ts^II iM^MM;1 n^MF j^MI M6^MM;1 t^FF
千万	ts^II iM^MM;1 n^MF m^MI aM^MM;6 n^FF
千万元	ts^II iM^MM;1 n^MF m^MI aM^MM;6 n^MF j^MI yM^MM;4 n^FF
千万名	ts^II iM^MM;1 n^MF m^MI aM^MM;6 n^MF m^MI iM^MM;4 N^FF
千万美元	ts^II iM^MM;1 n^MF m^MI aM^MM;6 n^MF m^MI ej^MF;5 j^MI yM^MM;4 n^FF
千三	ts^II iM^MM;1 n^MF s^MI aM^MM;1 m^FF
千两	ts^II iM^MM;1 n^MF l^MI M9M^MM;5 N^FF
千个	ts^II iM^MM;1 n^MF g^MI OM^FF;3
千五	ts^II iM^MM;1 n^MF m^FI;5
千元	ts^II iM^MM;1 n^MF j^MI yM^MM;4 n^FF
千八百	ts^II iM^MM;1 n^MF b^MI aM^MM;3 t^MF b^MI aM^MM;3 k^FF
千公顷	ts^II iM^MM;1 n^MF g^MI uM^MM;1 N^MF k^MI iM^MM;5 N^FF
千千	ts^II iM^MM;1 n^MF ts^MI iM^MM;1 n^FF
千千万	ts^II iM^MM;1 n^MF ts^MI iM^MM;1 n^MF m^MI aM^MM;6 n^FF
千千万万	ts^II iM^MM;1 n^MF ts^MI iM^MM;1 n^MF m^MI aM^MM;6 n^MF m^MI aM^MM;6 n^FF
千古	ts^II iM^MM;1 n^MF g^MI uM^FF;2
千古罪人	ts^II iM^MM;1 n^MF g^MI uM^MF;2 dz^MI M9y^MF;6 j^MI M6^MM;4 n^FF
千只	ts^II iM^MM;1 n^MF dz^MI EM^MM;3 k^FF
千名	ts^II iM^MM;1 n^MF m^MI iM^MM;4 N^FF
千四	ts^II iM^MM;1 n^MF s^MI ej^FF;3
千多	ts^II iM^MM;1 n^MF d^MI OM^FF;1
千平方米	ts^II iM^MM;1 n^MF p^MI iM^MM;4 N^MF f^MI OM^MM;1 N^MF m^MI M6j^FF;5
千方	ts^II iM^MM;1 n^MF f^MI OM^MM;1 N^FF
千点	ts^II iM^MM;1 n^MF d^MI iM^MM;2 m^FF
千米	ts^II iM^MM;1 n^MF m^MI M6j^FF;5
千美元	ts^II iM^MM;1 n^MF m^MI ej^MF;5 j^MI yM^MM;4 n^FF
升	s^II iM^MM;1 N^FF
升任	s^II iM^MM;1 N^MF j^MI M6^MM;6 m^FF
升值	s^II iM^MM;1 N^MF dz^MI iM^MM;6 k^FF
升天	s^II iM^MM;1 N^MF t^MI iM^MM;1 n^FF
升幅	s^II iM^MM;1 N^MF f^MI uM^MM;1 k^FF
升旗	s^II iM^MM;1 N^MF k^MI ej^FF;4
升空	s^II iM^MM;1 N^MF h^MI uM^MM;1 N^FF
升级	s^II iM^MM;1 N^MF k^MI M6^MM;1 p^FF
升职	s^II iM^MM;1 N^MF dz^MI iM^MM;1 k^FF
升读	s^II iM^MM;1 N^MF d^MI uM^MM;6 k^FF
升降	s^II iM^MM;1 N^MF g^MI OM^MM;3 N^FF
升降机	s^II iM^MM;1 N^MF g^MI OM^MM;3 N^MF g^MI ej^FF;1
午	m^II;5
午后	N^II;5 h^MI M6w^FF;6
午夜	m^II;5 j^MI EM^FF;6
午餐	m^II;5 ts^MI aM^MM;1 n^FF
午餐肉	m^II;5 ts^MI aM^MM;1 n^MF j^MI uM^MM;6 k^FF
午饭	N^II;5 f^MI aM^MM;6 n^FF
半	b^II uM^MM;3 n^FF
半个	b^II uM^MM;3 n^MF g^MI OM^FF;3
半个世纪	b^II uM^MM;3 n^MF g^MI OM^MF;3 s^MI M6j^MF;3 g^MI ej^FF;2
半亿	b^II uM^MM;3 n^MF j^MI iM^MM;1 k^FF
半场	b^II uM^MM;3 n^MF ts^MI M9M^MM;4 N^FF
半夜	b^II uM^MM;3 n^MF j^MI EM^FF;6
半天	b^II uM^MM;3 n^MF t^MI iM^MM;1 n^FF
半山	b^II uM^MM;3 n^MF s^MI aM^MM;1 n^FF
半岛	b^II uM^MM;3 n^MF d^MI ow^FF;2
半年	b^II uM^MM;3 n^MF n^MI iM^MM;4 n^FF
半数	b^II uM^MM;3 n^MF s^MI ow^FF;3
半旗	b^II uM^MM;3 n^MF k^MI ej^FF;4
半甲	b^II uM^MM;3 n^MF g^MI aM^MM;3 p^FF
半身	b^II uM^MM;3 n^MF s^MI M6^MM;1 n^FF
半边	b^II uM^MM;3 n^MF b^MI iM^MM;1 n^FF
半途	b^II uM^MM;3 n^MF t^MI ow^FF;4
半部	b^II uM^MM;3 n^MF b^MI ow^FF;6
华	w^II aM^FF;4
华丰	w^II aM^MF;4 f^MI uM^MM;1 N^FF
华丽	w^II aM^MF;4 l^MI M6j^FF;6
华侨	w^II aM^MF;4 k^MI iw^FF;4
华光	w^II aM^MF;4 gw^MI OM^MM;1 N^FF
华南	w^II aM^MF;4 l^MI aM^MM;4 m^FF
华南地区	w^II aM^MF;4 l^MI aM^MM;4 m^MF d^MI ej^MF;6 k^MI M9y^FF;1
华厦	w^II aM^MF;4 h^MI aM^FF;6
华夏	w^II aM^MF;4 h^MI aM^FF;6
华府	w^II aM^MF;4 f^MI uM^FF;2
华房	w^II aM^MF;4 f^MI OM^MM;2 N^FF
华文	w^II aM^MF;4 m^MI M6^MM;4 n^FF
华润	w^II aM^MF;4 j^MI M9M^MM;6 n^FF
华灯	w^II aM^MF;4 d^MI M6^MM;1 N^FF
华纳	w^II aM^MF;4 l^MI aM^MM;6 p^FF
华银	w^II aM^MF;2 M6^MI;4 n^FF
协	h^II iM^MM;3 p^FF
协会	h^II iM^MM;3 p^MF w^MI uMj^FF;2
协会会员	h^II iM^MM;3 p^MF w^MI uMj^MF;2 w^MI uMj^MF;2 j^MI yM^MM;4 n^FF
协会会长	h^II iM^MM;3 p^MF w^MI uMj^MF;2 w^MI uMj^MF;6 dz^MI M9M^MM;2 N^FF
协力	h^II iM^MM;3 p^MF l^MI iM^MM;6 k^FF
协助	h^II iM^MM;3 p^MF dz^MI OM^FF;6
协商	h^II iM^MM;3 p^MF s^MI M9M^MM;1 N^FF
协定	h^II iM^MM;3 p^MF d^MI iM^MM;6 N^FF
协议	h^II iM^MM;3 p^MF j^MI iM^FF;5
协调	h^II iM^MM;3 p^MF t^MI iw^FF;4
卓	ts^II M9M^MM;3 k^FF
单	d^II aM^MM;1 n^FF
单位	d^II aM^MM;1 n^MF w^MI M6j^FF;2
单张	d^II aM^MM;1 n^MF dz^MI M9M^MM;1 N^FF
单循环	d^II aM^MM;1 n^MF ts^MI M9M^MM;4 n^MF w^MI aM^MM;4 n^FF
单打	d^II aM^MM;1 n^MF d^MI aM^FF;2
单打独斗	d^II aM^MM;1 n^MF d^MI aM^MF;2 d^MI uM^MM;6 k^MF d^MI M6w^FF;3
单程	d^II aM^MM;1 n^MF ts^MI iM^MM;4 N^FF
单程票	d^II aM^MM;1 n^MF ts^MI iM^MM;4 N^MF p^MI iw^FF;3
单车	d^II aM^MM;1 n^MF ts^MI EM^FF;1
卖	m^II aMj^FF;6
卖出	m^II aMj^MF;6 ts^MI M9M^MM;1 t^FF
卖地	m^II aMj^MF;6 d^MI ej^FF;6
卖弄	m^II aMj^MF;6 l^MI uM^MM;6 N^FF
卖掉	m^II aMj^MF;6 d^MI iw^FF;6
卖狗肉	m^II aMj^MF;6 g^MI M6w^MF;2 j^MI uM^MM;6 k^FF
卖盘	m^II aMj^MF;6 p^MI uM^MM;2 n^FF
卖者	m^II aMj^MF;6 dz^MI EM^FF;2
南	l^II aM^MM;4 m^FF
南丫岛	n^II aM^MM;4 m^MF N^MI aM^MF;1 d^MI ow^FF;2
南亚	n^II aM^MM;4 m^MF N^MI aM^FF;3
南亚地区	l^II aM^MM;4 m^MF aM^MI;3 d^MI ej^MF;6 k^MI M9y^FF;1
南北	l^II aM^MM;4 m^MF b^MI M6^MM;1 k^FF
南区	n^II aM^MM;4 m^MF k^MI M9y^FF;1
南华	l^II aM^MM;4 m^MF w^MI aM^FF;4
南和	n^II aM^MM;4 m^MF w^MI OM^FF;4
南国	l^II aM^MM;4 m^MF gw^MI OM^MM;3 k^FF
南山	l^II aM^MM;4 m^MF s^MI aM^MM;1 n^FF
南岛	n^II aM^MM;4 m^MF d^MI ow^FF;2
南平	l^II aM^MM;4 m^MF p^MI iM^MM;4 N^FF
南方	l^II aM^MM;4 m^MF f^MI OM^MM;1 N^FF
南昌	n^II aM^MM;4 m^MF ts^MI M9M^MM;1 N^FF
南昌街	n^II aM^MM;4 m^MF ts^MI M9M^MM;1 N^MF g^MI aMj^FF;1
南极	l^II aM^MM;4 m^MF g^MI iM^MM;6 k^FF
南沙	l^II aM^MM;4 m^MF s^MI aM^FF;1
南沙群岛	l^II aM^MM;4 m^MF s^MI aM^MF;1 kw^MI M6^MM;4 n^MF d^MI ow^FF;2
南洋	l^II aM^MM;4 m^MF j^MI M9M^MM;2 N^FF
南湖	l^II aM^MM;4 m^MF w^MI uM^FF;4
南部	l^II aM^MM;4 m^MF b^MI ow^FF;6
南非	l^II aM^MM;4 m^MF f^MI ej^FF;1
南面	n^II aM^MM;4 m^MF m^MI iM^MM;6 n^FF
南韩	l^II aM^MM;4 m^MF h^MI OM^MM;4 n^FF
博取	b^II OM^MM;3 k^MF ts^MI M9y^FF;2
博士	b^II OM^MM;3 k^MF s^MI iM^FF;6
博物	b^II OM^MM;3 k^MF m^MI M6^MM;6 t^FF
博物馆	b^II OM^MM;3 k^MF m^MI M6^MM;6 t^MF g^MI uM^MM;2 n^FF
卜	b^II uM^MM;1 k^FF
占	dz^II iM^MM;3 m^FF
占地	dz^II iM^MM;3 m^MF d^MI ej^FF;6
卡	k^II aM^FF;1
卡车	k^II aM^MF;1 ts^MI EM^FF;1
卡通	k^II aM^MF;1 t^MI uM^MM;1 N^FF
卡通化	k^II aM^MF;1 t^MI uM^MM;1 N^MF f^MI aM^FF;3
卡通片	k^II aM^MF;1 t^MI uM^MM;1 N^MF p^MI iM^MM;2 n^FF
卢	l^II ow^FF;4
卧	N^II OM^FF;6
卧病	N^II OM^MF;6 b^MI EM^MM;6 N^FF
卧病在床	N^II OM^MF;6 b^MI EM^MM;6 N^MF dz^MI OMj^MF;6 ts^MI OM^MM;4 N^FF
卫东	w^II M6j^MF;5 d^MI uM^MM;1 N^FF
卫冕	w^II M6j^MF;6 m^MI iM^MM;5 n^FF
卫星	w^II M6j^MF;6 s^MI iM^MM;1 N^FF
卫生	w^II M6j^MF;6 s^MI M6^MM;1 N^FF
卫生署	w^II M6j^MF;6 s^MI M6^MM;1 N^MF ts^MI yM^FF;5
印制	j^II M6^MM;3 n^MF dz^MI M6j^FF;3
印刷	j^II M6^MM;3 n^MF ts^MI aM^MM;3 t^FF
印刷工	j^II M6^MM;3 n^MF ts^MI aM^MM;3 t^MF g^MI uM^MM;1 N^FF
印尼	j^II M6^MM;3 n^MF l^MI ej^FF;4
印尼盾	j^II M6^MM;3 n^MF l^MI ej^MF;4 t^MI M9M^MM;5 n^FF
印章	j^II M6^MM;3 n^MF dz^MI M9M^MM;1 N^FF
危机	N^II M6j^MF;4 g^MI ej^FF;1
危殆	M6j^II;4 t^MI OMj^FF;5
危险	N^II M6j^MF;4 h^MI iM^MM;2 m^FF
危险品	N^II M6j^MF;4 h^MI iM^MM;2 m^MF b^MI M6^MM;2 n^FF
危险性	N^II M6j^MF;4 h^MI iM^MM;2 m^MF s^MI iM^MM;3 N^FF
危险期	N^II M6j^MF;4 h^MI iM^MM;2 m^MF k^MI ej^FF;4
即	dz^II iM^MM;1 k^FF
即为	dz^II iM^MM;1 k^MF w^MI M6j^FF;4
即使	dz^II iM^MM;1 k^MF s^MI iM^FF;2
即刻	dz^II iM^MM;1 k^MF h^MI aM^MM;1 k^FF
即将	dz^II iM^MM;1 k^MF dz^MI M9M^MM;1 N^FF
即日	dz^II iM^MM;1 k^MF j^MI M6^MM;6 t^FF
即时	dz^II iM^MM;1 k^MF s^MI iM^FF;4
即是	dz^II iM^MM;1 k^MF s^MI iM^FF;6
即行	dz^II iM^MM;1 k^MF h^MI M6^MM;4 N^FF
却	k^II M9M^MM;3 k^FF
却是	k^II M9M^MM;3 k^MF s^MI iM^FF;6
卷	g^II yM^MM;2 n^FF
卷入	g^II yM^MM;2 n^MF j^MI M6^MM;6 p^FF
卷土重来	g^II yM^MM;2 n^MF t^MI ow^MF;2 ts^MI uM^MM;4 N^MF l^MI OMj^FF;4
卸	s^II EM^FF;3
卸下	s^II EM^MF;3 h^MI aM^FF;6
卸去	s^II EM^MF;3 h^MI M9y^FF;3
卸法	s^II EM^MF;3 f^MI aM^MM;3 t^FF
卸责	s^II EM^MF;3 dz^MI aM^MM;3 k^FF
卸责任	s^II EM^MF;3 dz^MI aM^MM;3 k^MF j^MI M6^MM;6 m^FF
卸货	s^II EM^MF;3 f^MI OM^FF;3
厂	ts^II OM^MM;2 N^FF
厂商	ts^II OM^MM;2 N^MF s^MI M9M^MM;1 N^FF
厂房	ts^II OM^MM;2 N^MF f^MI OM^MM;4 N^FF
厄运	N^II aM^MM;1 k^MF w^MI M6^MM;6 n^FF
厅	t^II EM^MM;1 N^FF
厅里	t^II EM^MM;1 N^MF l^MI M9y^FF;5
厅长	t^II EM^MM;1 N^MF dz^MI M9M^MM;2 N^FF
历	l^II iM^MM;6 k^FF
历史	l^II iM^MM;6 k^MF s^MI iM^FF;2
历尽	l^II iM^MM;6 k^MF dz^MI M9M^MM;6 n^FF
历年	l^II iM^MM;6 k^MF n^MI iM^MM;4 n^FF
历来	l^II iM^MM;6 k^MF l^MI OMj^FF;4
历险	l^II iM^MM;6 k^MF h^MI iM^MM;2 m^FF
厉害	l^II ej^MF;6 h^MI OMj^FF;6
压	N^II aM^MM;3 t^FF
压低	N^II aM^MM;3 t^MF d^MI M6j^FF;1
压住	N^II aM^MM;3 t^MF dz^MI yM^FF;6
压倒	aM^II;3 t^MF d^MI ow^FF;2
压制	N^II aM^MM;3 t^MF dz^MI M6j^FF;3
压力	N^II aM^MM;3 t^MF l^MI iM^MM;6 k^FF
压力感	N^II aM^MM;3 t^MF l^MI iM^MM;6 k^MF g^MI M6^MM;2 m^FF
压抑	N^II aM^MM;3 t^MF j^MI iM^MM;1 k^FF
压过	N^II aM^MM;3 t^MF gw^MI OM^FF;3
厘	l^II ej^FF;4
厘定	l^II ej^MF;4 d^MI iM^MM;6 N^FF
厚	h^II M6w^FF;5
厚礼	h^II M6w^MF;5 l^MI M6j^FF;5
原	j^II yM^MM;4 n^FF
原件	j^II yM^MM;4 n^MF g^MI iM^MM;2 n^FF
原体	j^II yM^MM;4 n^MF t^MI M6j^FF;2
原则	j^II yM^MM;4 n^MF dz^MI M6^MM;1 k^FF
原创	j^II yM^MM;4 n^MF ts^MI OM^MM;3 N^FF
原判	j^II yM^MM;4 n^MF p^MI uM^MM;3 n^FF
原告	j^II yM^MM;4 n^MF g^MI ow^FF;3
原因	j^II yM^MM;4 n^MF j^MI M6^MM;1 n^FF
原来	j^II yM^MM;4 n^MF l^MI OMj^FF;4
厦门	h^II aM^MF;6 m^MI uM^MM;4 n^FF
厨房	ts^II yM^MF;4 f^MI OM^MM;2 N^FF
厨艺	ts^II yM^MF;4 N^MI M6j^FF;6
去	h^II M9y^FF;3
去去	h^II M9y^MF;3 h^MI M9y^FF;3
去向	h^II M9y^MF;3 h^MI M9M^MM;3 N^FF
去年	h^II M9y^MF;3 n^MI iM^MM;4 n^FF
去年同期	h^II M9y^MF;3 n^MI iM^MM;4 n^MF t^MI uM^MM;4 N^MF k^MI ej^FF;4
去日	h^II M9y^MF;3 j^MI M6^MM;6 t^FF
去过	h^II M9y^MF;3 gw^MI OM^FF;3
参	s^II M6^MM;1 m^FF
参与	ts^II aM^MM;1 m^MF j^MI yM^FF;5
参加	ts^II aM^MM;1 m^MF g^MI aM^FF;1
参建	ts^II aM^MM;1 m^MF g^MI iM^MM;3 n^FF
参拜	ts^II aM^MM;1 m^MF b^MI aMj^FF;3
参政	ts^II aM^MM;1 m^MF dz^MI iM^MM;3 N^FF
参政权	ts^II aM^MM;1 m^MF dz^MI iM^MM;3 N^MF k^MI yM^MM;4 n^FF
参考	ts^II aM^MM;1 m^MF h^MI aMw^FF;2
参考书	ts^II aM^MM;1 m^MF h^MI aMw^MF;2 s^MI yM^FF;1
